 	ribo_5p
MSMEG_1029	1.0
MSMEG_1030	1.0
MSMEG_1031	1.0
MSMEG_1032	1.0
MSMEG_1033	1.0
MSMEG_1034	1.0
MSMEG_1035	1.0
MSMEG_1037	1.0
MSMEG_1038	1.0
MSMEG_1039	1.0
MSMEG_1041	1.0
MSMEG_1042	1.0
MSMEG_1043	1.0
MSMEG_1044	1.0
MSMEG_1045	1.0
MSMEG_1046	1.0
MSMEG_1047	1.0
MSMEG_1048	1.0
MSMEG_1049	1.0
MSMEG_1050	1.0
MSMEG_1051	1.0
MSMEG_1052	1.0
MSMEG_1053	1.0
MSMEG_1054	1.0
MSMEG_1055	1.0
MSMEG_1057	1.0
MSMEG_1058	1.0
MSMEG_1059	0.0014
MSMEG_1060	0.574
MSMEG_1061	1.9429
MSMEG_1062	0.3954
MSMEG_1063	0.269
MSMEG_1064	3.2789
MSMEG_1065	0.3343
MSMEG_1066	0.2345
MSMEG_1067	0.6098
MSMEG_1068	1.9961
MSMEG_1069	1.1987
MSMEG_1070	0.2993
MSMEG_1071	0.3504
MSMEG_1072	0.3912
MSMEG_1073	0.3613
MSMEG_1074	0.4413
MSMEG_1075	2.1021
MSMEG_1076	1.4043
MSMEG_1077	0.4133
MSMEG_1078	3.2564
MSMEG_1079	0.3569
MSMEG_1080	0.2902
MSMEG_1081	0.6987
MSMEG_1082	1.0714
MSMEG_1083	0.5966
MSMEG_1084	0.5568
MSMEG_1085	0.4164
MSMEG_1086	0.3854
MSMEG_1088	0.3403
MSMEG_1089	1.3667
MSMEG_1090	0.7277
MSMEG_1091	0.2417
MSMEG_1092	0.3347
MSMEG_1093	0.6563
MSMEG_1094	0.3589
MSMEG_1095	0.3276
MSMEG_1096	0.2919
MSMEG_1097	13.5282
MSMEG_1098	0.8822
MSMEG_1099	0.4891
MSMEG_1100	0.9061
MSMEG_1101	2.3486
MSMEG_1102	0.0447
MSMEG_1103	0.7024
MSMEG_1104	0.418
MSMEG_1106	0.5482
MSMEG_1107	0.8407
MSMEG_1108	1.7705
MSMEG_1109	0.4663
MSMEG_1110	0.1705
MSMEG_1111	0.1329
MSMEG_1112	0.3409
MSMEG_1113	0.3345
MSMEG_1114	0.7687
MSMEG_1115	5.7111
MSMEG_1116	0.3174
MSMEG_1117	0.7633
MSMEG_1118	1.2474
MSMEG_1119	0.0694
MSMEG_1120	1.089
MSMEG_1121	0.5634
MSMEG_1122	0.2232
MSMEG_1123	0.5312
MSMEG_1124	3.2684
MSMEG_1125	0.4626
MSMEG_1126	0.4874
MSMEG_1127	0.5914
MSMEG_1128	1.9701
MSMEG_1129	0.944
MSMEG_1130	0.6024
MSMEG_1131	8.0676
MSMEG_1132	3.0378
MSMEG_1133	7.0425
MSMEG_1134	0.9197
MSMEG_1135	1.2243
MSMEG_1136	8.022
MSMEG_1137	0.3211
MSMEG_1138	0.3961
MSMEG_1139	0.6085
MSMEG_1140	2.6268
MSMEG_1141	0.913
MSMEG_1142	0.6524
MSMEG_1143	0.144
MSMEG_1144	0.4638
MSMEG_1145	0.2083
MSMEG_1146	0.1865
MSMEG_1147	0.2342
MSMEG_1148	0.0812
MSMEG_1149	0.5514
MSMEG_1150	0.5007
MSMEG_1151	0.2547
MSMEG_1152	0.6528
MSMEG_1153	0.7466
MSMEG_1154	1.1223
MSMEG_1155	0.5045
MSMEG_1156	1.6423
MSMEG_1157	0.6906
MSMEG_1158	2.2482
MSMEG_1159	0.274
MSMEG_1160	0.3432
MSMEG_1161	0.3567
MSMEG_1162	1.4136
MSMEG_1163	0.476
MSMEG_1165	0.6423
MSMEG_1167	0.7086
MSMEG_1168	0.6295
MSMEG_1169	1.07
MSMEG_1170	0.196
MSMEG_1171	0.365
MSMEG_1172	0.2637
MSMEG_1173	1.425
MSMEG_1174	2.776
MSMEG_1175	2.9958
MSMEG_1176	0.1547
MSMEG_1177	0.6653
MSMEG_1178	1.5335
MSMEG_1179	0.153
MSMEG_1180	0.3094
MSMEG_1181	0.425
MSMEG_1182	0.9693
MSMEG_1183	1.5097
MSMEG_1184	3.5091
MSMEG_1185	0.5972
MSMEG_1186	0.8494
MSMEG_1187	0.3946
MSMEG_1188	0.4018
MSMEG_1189	1.6636
MSMEG_1190	0.0574
MSMEG_1191	1.3902
MSMEG_1192	0.9577
MSMEG_1193	0.539
MSMEG_1194	20.3802
MSMEG_1195	2.738
MSMEG_1196	0.5563
MSMEG_1197	0.5565
MSMEG_1198	1.0956
MSMEG_1199	1.3838
MSMEG_1200	0.277
MSMEG_1201	1.0341
MSMEG_1202	0.1985
MSMEG_1203	0.1705
MSMEG_1204	0.5026
MSMEG_1205	0.4838
MSMEG_1206	1.6157
MSMEG_1207	0.189
MSMEG_1208	0.2485
MSMEG_1209	0.382
MSMEG_1210	4.3592
MSMEG_1211	0.3134
MSMEG_1212	1.3568
MSMEG_1213	0.8141
MSMEG_1214	0.2761
MSMEG_1215	1.4922
MSMEG_1216	0.8005
MSMEG_1217	0.3446
MSMEG_1218	0.1192
MSMEG_1219	0.1273
MSMEG_1220	0.587
MSMEG_1221	2.9663
MSMEG_1222	0.2531
MSMEG_1223	0.2057
MSMEG_1224	0.0905
MSMEG_1225	1.1031
MSMEG_1226	10.6192
MSMEG_1227	0.2439
MSMEG_1228	0.876
MSMEG_1229	0.7728
MSMEG_1230	0.465
MSMEG_1231	0.7575
MSMEG_1232	0.6643
MSMEG_1234	0.368
MSMEG_1235	0.5438
MSMEG_1236	1.715
MSMEG_1237	2.9224
MSMEG_1238	0.1071
MSMEG_1239	0.2219
MSMEG_1240	0.3394
MSMEG_1241	0.3704
MSMEG_1242	1.2958
MSMEG_1243	0.3422
MSMEG_1244	0.2575
MSMEG_1245	0.611
MSMEG_1246	0.214
MSMEG_1247	0.4427
MSMEG_1248	0.2841
MSMEG_1249	0.1842
MSMEG_1250	1.1619
MSMEG_1251	1.7833
MSMEG_1252	0.6278
MSMEG_1253	0.3299
MSMEG_1254	0.3632
MSMEG_1255	0.5845
MSMEG_1256	0.2213
MSMEG_1257	0.089
MSMEG_1258	0.0355
MSMEG_1259	0.8679
MSMEG_1260	1.9456
MSMEG_1261	2.5753
MSMEG_1262	0.3336
MSMEG_1263	0.6495
MSMEG_1264	0.3938
MSMEG_1265	0.3547
MSMEG_1266	0.5547
MSMEG_1268	0.8017
MSMEG_1269	0.8335
MSMEG_1270	0.6472
MSMEG_1271	0.4415
MSMEG_1272	0.2126
MSMEG_1273	0.2905
MSMEG_1274	0.6568
MSMEG_1275	0.1286
MSMEG_1276	0.0856
MSMEG_1277	2.9513
MSMEG_1278	0.2075
MSMEG_1279	0.7055
MSMEG_1280	0.2262
MSMEG_1281	0.1142
MSMEG_1282	0.2931
MSMEG_1283	0.672
MSMEG_1284	0.3401
MSMEG_1285	0.6316
MSMEG_1286	0.4143
MSMEG_1287	1.763
MSMEG_1288	1.1391
MSMEG_1289	1.9187
MSMEG_1290	0.485
MSMEG_1291	0.5638
MSMEG_1292	0.6376
MSMEG_1293	7.865
MSMEG_1294	0.124
MSMEG_1295	0.8416
MSMEG_1296	0.8209
MSMEG_1297	0.5442
MSMEG_1298	0.3584
MSMEG_1299	0.9523
MSMEG_1300	0.4966
MSMEG_1301	0.473
MSMEG_1302	0.3362
MSMEG_1303	3.8425
MSMEG_1304	1.9564
MSMEG_1305	1.7459
MSMEG_1306	0.4779
MSMEG_1307	0.5466
MSMEG_1308	0.6202
MSMEG_1309	0.3969
MSMEG_1310	0.4412
MSMEG_1311	0.4556
MSMEG_1312	0.7527
MSMEG_1313	0.6294
MSMEG_1314	0.1578
MSMEG_1315	1.0231
MSMEG_1316	0.2061
MSMEG_1317	1.4012
MSMEG_1318	0.5578
MSMEG_1319	0.402
MSMEG_1320	0.4312
MSMEG_1321	0.3986
MSMEG_1322	0.9482
MSMEG_1323	0.3502
MSMEG_1324	0.1091
MSMEG_1325	0.4787
MSMEG_1326	0.1109
MSMEG_1327	0.1372
MSMEG_1328	0.399
MSMEG_1329	0.1592
MSMEG_1330	0.0742
MSMEG_1331	1.4662
MSMEG_1332	0.2623
MSMEG_1333	0.054
MSMEG_1334	3.3408
MSMEG_1335	0.6575
MSMEG_1336	0.1825
MSMEG_1339	2.7125
MSMEG_1340	0.4489
MSMEG_1341	0.4587
MSMEG_1342	0.4142
MSMEG_1344	0.822
MSMEG_1345	1.1197
MSMEG_1346	0.7314
MSMEG_1347	0.8828
MSMEG_1348	0.366
MSMEG_1349	0.0797
MSMEG_1350	0.3955
MSMEG_1351	0.52
MSMEG_1352	0.1105
MSMEG_1353	10.6816
MSMEG_1355	0.7371
MSMEG_1356	0.3018
MSMEG_1357	0.7971
MSMEG_1358	0.8687
MSMEG_1359	0.6789
MSMEG_1360	0.4415
MSMEG_1361	0.1617
MSMEG_1362	0.3285
MSMEG_1363	0.8095
MSMEG_1364	1.6741
MSMEG_1365	1.9445
MSMEG_1366	0.5522
MSMEG_1367	0.2745
MSMEG_1368	0.3397
MSMEG_1369	4.5362
MSMEG_1370	0.4649
MSMEG_1371	0.3575
MSMEG_1372	0.623
MSMEG_1373	0.4345
MSMEG_1374	0.3339
MSMEG_1375	0.5672
MSMEG_1376	0.2614
MSMEG_1377	0.4609
MSMEG_1378	0.5554
MSMEG_1379	0.5021
MSMEG_1380	4.1382
MSMEG_1381	0.388
MSMEG_1382	0.4344
MSMEG_1383	4.0417
MSMEG_1384	1.4939
MSMEG_1385	0.0902
MSMEG_1386	0.2624
MSMEG_1387	2.4224
MSMEG_1388	0.2645
MSMEG_1389	0.751
MSMEG_1390	1.4127
MSMEG_1391	0.8086
MSMEG_1392	0.9838
MSMEG_1393	0.1946
MSMEG_1394	2.5994
MSMEG_1395	1.0923
MSMEG_1396	0.1365
MSMEG_1397	0.3936
MSMEG_1398	1.5504
MSMEG_1399	0.4283
MSMEG_1401	3.7685
MSMEG_1402	1.9172
MSMEG_1403	0.2496
MSMEG_1404	0.011
MSMEG_1405	0.7706
MSMEG_1406	0.6368
MSMEG_1409	0.5466
MSMEG_1410	1.7254
MSMEG_1411	0.2495
MSMEG_1412	0.1749
MSMEG_1413	0.9984
MSMEG_1414	2.5216
MSMEG_1415	0.3389
MSMEG_1416	4.8779
MSMEG_1417	0.9951
MSMEG_1418	4.4558
MSMEG_1419	4.5705
MSMEG_1420	0.1605
MSMEG_1421	0.0278
MSMEG_1422	0.3
MSMEG_1423	0.2608
MSMEG_1424	0.623
MSMEG_1425	0.1245
MSMEG_1426	0.7216
MSMEG_1427	0.3174
MSMEG_1428	0.1087
MSMEG_1429	0.9717
MSMEG_1430	1.5398
MSMEG_1431	0.2033
MSMEG_1432	1.9591
MSMEG_1433	0.0415
MSMEG_1434	0.4505
MSMEG_1435	0.6035
MSMEG_1436	0.2104
MSMEG_1437	0.6209
MSMEG_1438	0.3656
MSMEG_1439	0.3184
MSMEG_1440	0.9415
MSMEG_1441	0.2385
MSMEG_1442	0.5273
MSMEG_1443	0.2893
MSMEG_1444	0.5526
MSMEG_1445	0.2216
MSMEG_1446	0.3618
MSMEG_1447	0.1947
MSMEG_1448	0.7446
MSMEG_1450	0.3918
MSMEG_1451	0.6751
MSMEG_1452	0.2712
MSMEG_1453	0.2996
MSMEG_1454	0.3109
MSMEG_1455	0.3336
MSMEG_1456	1.1672
MSMEG_1457	1.3128
MSMEG_1458	0.8071
MSMEG_1459	0.2507
MSMEG_1460	0.496
MSMEG_1461	0.5137
MSMEG_1462	0.4478
MSMEG_1463	0.2427
MSMEG_1464	0.3362
MSMEG_1465	2.1172
MSMEG_1466	0.5669
MSMEG_1467	0.5989
MSMEG_1468	0.34
MSMEG_1469	0.6267
MSMEG_1470	0.2915
MSMEG_1471	0.4702
MSMEG_1472	0.6515
MSMEG_1473	0.2201
MSMEG_1474	0.8689
MSMEG_1475	2.1118
MSMEG_1476	5.1883
MSMEG_1477	0.2961
MSMEG_1478	0.0501
MSMEG_1479	0.6115
MSMEG_1480	0.9304
MSMEG_1481	0.2255
MSMEG_1482	1.961
MSMEG_1483	0.4121
MSMEG_1484	0.6085
MSMEG_1485	0.2145
MSMEG_1486	0.1351
MSMEG_1487	0.4773
MSMEG_1488	0.1656
MSMEG_1489	0.4694
MSMEG_1490	0.5141
MSMEG_1491	0.5146
MSMEG_1492	0.2833
MSMEG_1493	0.3336
MSMEG_1494	1.1758
MSMEG_1495	0.7419
MSMEG_1496	0.9576
MSMEG_1497	0.183
MSMEG_1498	2.877
MSMEG_1499	0.5317
MSMEG_1500	0.2472
MSMEG_1501	0.9916
MSMEG_1502	0.4879
MSMEG_1503	0.2869
MSMEG_1504	0.4052
MSMEG_1505	0.7341
MSMEG_1506	0.5778
MSMEG_1507	0.6648
MSMEG_1508	0.343
MSMEG_1509	0.4652
MSMEG_1510	0.4168
MSMEG_1511	2.0954
MSMEG_1512	0.3302
MSMEG_1513	1.0768
MSMEG_1514	0.0646
MSMEG_1515	0.5595
MSMEG_1516	0.1132
MSMEG_1517	0.5806
MSMEG_1518	0.5398
MSMEG_1519	0.422
MSMEG_1520	0.3683
MSMEG_1521	0.4279
MSMEG_1522	0.5882
MSMEG_1523	0.2749
MSMEG_1524	0.3162
MSMEG_1525	0.2196
MSMEG_1526	0.2731
MSMEG_1527	0.2601
MSMEG_1528	0.2395
MSMEG_1529	0.6397
MSMEG_1530	3.2715
MSMEG_1531	0.569
MSMEG_1532	0.3835
MSMEG_1533	0.3656
MSMEG_1534	0.3383
MSMEG_1535	1.4803
MSMEG_1536	0.524
MSMEG_1537	0.4359
MSMEG_1538	1.5592
MSMEG_1539	0.4403
MSMEG_1540	0.3074
MSMEG_1541	0.1234
MSMEG_1542	1.3943
MSMEG_1543	1.8553
MSMEG_1544	0.9211
MSMEG_1545	0.4271
MSMEG_1546	1.0053
MSMEG_1547	0.4683
MSMEG_1548	0.4211
MSMEG_1550	0.1321
MSMEG_1551	0.3995
MSMEG_1552	0.8175
MSMEG_1553	0.1187
MSMEG_1554	0.4229
MSMEG_1556	0.721
MSMEG_1557	0.5572
MSMEG_1558	1.551
MSMEG_1559	3.9326
MSMEG_1560	0.0631
MSMEG_1561	0.207
MSMEG_1563	5.3734
MSMEG_1564	0.6726
MSMEG_1565	16.9931
MSMEG_1566	0.1937
MSMEG_1567	0.5011
MSMEG_1568	0.513
MSMEG_1569	0.2187
MSMEG_1570	0.1791
MSMEG_1571	0.597
MSMEG_1572	0.3627
MSMEG_1573	0.4216
MSMEG_1574	0.9626
MSMEG_1575	0.4283
MSMEG_1576	0.3252
MSMEG_1577	0.3279
MSMEG_1578	0.4572
MSMEG_1579	0.5229
MSMEG_1580	0.3705
MSMEG_1581	0.2607
MSMEG_1582	2.2444
MSMEG_1583	0.3152
MSMEG_1584	12.2313
MSMEG_1585	0.7938
MSMEG_1586	1.1205
MSMEG_1587	0.4871
MSMEG_1588	0.4386
MSMEG_1589	0.5338
MSMEG_1590	0.3587
MSMEG_1591	0.6791
MSMEG_1592	0.4029
MSMEG_1593	0.0846
MSMEG_1594	1.0669
MSMEG_1595	0.5964
MSMEG_1596	0.7721
MSMEG_1597	0.3279
MSMEG_1598	0.291
MSMEG_1599	0.425
MSMEG_1600	0.7085
MSMEG_1601	10.1172
MSMEG_1602	0.2527
MSMEG_1603	0.259
MSMEG_1604	0.4989
MSMEG_1605	0.3669
MSMEG_1606	0.0808
MSMEG_1607	0.3977
MSMEG_1608	0.3722
MSMEG_1609	0.7806
MSMEG_1610	2.4538
MSMEG_1611	0.2327
MSMEG_1612	0.2829
MSMEG_1613	0.1703
MSMEG_1614	0.27
MSMEG_1615	0.3627
MSMEG_1617	0.3077
MSMEG_1618	0.4438
MSMEG_1619	0.283
MSMEG_1620	0.6975
MSMEG_1621	0.6014
MSMEG_1622	0.1702
MSMEG_1623	1.9539
MSMEG_1624	0.2658
MSMEG_1625	0.354
MSMEG_1626	0.7328
MSMEG_1627	0.2715
MSMEG_1628	0.6671
MSMEG_1629	0.4729
MSMEG_1630	0.9769
MSMEG_1631	1.5523
MSMEG_1632	1.9956
MSMEG_1633	0.272
MSMEG_1634	0.8548
MSMEG_1635	0.5232
MSMEG_1636	0.0671
MSMEG_1637	0.1592
MSMEG_1638	0.2846
MSMEG_1639	0.2633
MSMEG_1640	0.5007
MSMEG_1641	0.1218
MSMEG_1642	2.7552
MSMEG_1643	0.8389
MSMEG_1644	0.3272
MSMEG_1645	0.7023
MSMEG_1646	0.3249
MSMEG_1647	3.1567
MSMEG_1648	0.4574
MSMEG_1649	0.9023
MSMEG_1650	0.1897
MSMEG_1651	0.1202
MSMEG_1652	0.5666
MSMEG_1653	0.4242
MSMEG_1654	0.8482
MSMEG_1655	2.3119
MSMEG_1656	0.5437
MSMEG_1657	0.6679
MSMEG_1658	0.9834
MSMEG_1659	0.127
MSMEG_1660	0.1079
MSMEG_1661	0.5908
MSMEG_1662	1.4472
MSMEG_1663	2.3827
MSMEG_1664	0.3061
MSMEG_1665	9.0811
MSMEG_1666	0.719
MSMEG_1667	0.1149
MSMEG_1668	0.2976
MSMEG_1669	0.5029
MSMEG_1670	0.9721
MSMEG_1671	0.3479
MSMEG_1672	1.2814
MSMEG_1673	0.905
MSMEG_1674	0.1508
MSMEG_1675	0.2945
MSMEG_1676	3.7521
MSMEG_1677	0.3939
MSMEG_1678	0.2495
MSMEG_1679	0.5525
MSMEG_1680	0.4973
MSMEG_1681	1.4138
MSMEG_1682	1.2041
MSMEG_1683	0.5067
MSMEG_1684	6.9035
MSMEG_1685	0.2875
MSMEG_1686	0.3844
MSMEG_1687	0.7635
MSMEG_1688	0.4668
MSMEG_1689	0.9538
MSMEG_1690	0.4939
MSMEG_1691	0.2976
MSMEG_1692	1.8643
MSMEG_1693	0.2986
MSMEG_1694	5.6052
MSMEG_1695	6.738
MSMEG_1696	1.4899
MSMEG_1697	0.8785
MSMEG_1698	0.3972
MSMEG_1699	1.0554
MSMEG_1700	2.4597
MSMEG_1701	0.7458
MSMEG_1702	1.5366
MSMEG_1703	0.1951
MSMEG_1704	0.4446
MSMEG_1705	0.2239
MSMEG_1706	0.3527
MSMEG_1707	0.9668
MSMEG_1708	4.4887
MSMEG_1709	0.5933
MSMEG_1710	0.5152
MSMEG_1711	0.566
MSMEG_1712	0.5721
MSMEG_1713	0.6676
MSMEG_1714	0.5566
MSMEG_1715	0.9755
MSMEG_1716	2.1474
MSMEG_1717	0.5442
MSMEG_1718	0.6525
MSMEG_1719	0.1034
MSMEG_1720	0.5575
MSMEG_1721	1.0
MSMEG_1722	0.6078
MSMEG_1723	0.9627
MSMEG_1724	2.7323
MSMEG_1725	0.1951
MSMEG_1726	1.0
MSMEG_1727	0.1089
MSMEG_1728	0.0909
MSMEG_1729	0.6582
MSMEG_1730	0.8021
MSMEG_1731	0.5524
MSMEG_1732	0.5801
MSMEG_1733	0.364
MSMEG_1734	2.8314
MSMEG_1735	0.9241
MSMEG_1736	0.7906
MSMEG_1737	0.1649
MSMEG_1738	1.0943
MSMEG_1739	0.087
MSMEG_1740	0.28
MSMEG_1741	1.2507
MSMEG_1742	1.0355
MSMEG_1743	1.8555
MSMEG_1744	0.1049
MSMEG_1745	0.7975
MSMEG_1746	0.5153
MSMEG_1747	0.6158
MSMEG_1748	0.1814
MSMEG_1749	0.312
MSMEG_1750	0.2317
MSMEG_1751	1.4139
MSMEG_1752	0.5617
MSMEG_1753	9.4139
MSMEG_1754	0.2893
MSMEG_1755	4.3787
MSMEG_1756	0.1749
MSMEG_1757	0.2286
MSMEG_1758	2.7862
MSMEG_1759	6.6697
MSMEG_1760	0.5093
MSMEG_1761	0.4009
MSMEG_1762	1.1264
MSMEG_1763	1.0328
MSMEG_1764	2.4363
MSMEG_1765	0.2401
MSMEG_1766	1.0988
MSMEG_1767	0.3287
MSMEG_1768	0.2954
MSMEG_1769	1.2038
MSMEG_1770	1.4814
MSMEG_1771	1.5492
MSMEG_1772	0.6286
MSMEG_1773	0.801
MSMEG_1774	1.0058
MSMEG_1775	5.6997
MSMEG_1776	0.796
MSMEG_1777	7.2355
MSMEG_1778	0.1029
MSMEG_1779	0.3196
MSMEG_1780	0.1034
MSMEG_1781	0.1627
MSMEG_1782	0.5434
MSMEG_1783	0.2849
MSMEG_1784	0.5209
MSMEG_1785	0.4567
MSMEG_1786	2.4397
MSMEG_1787	0.3075
MSMEG_1788	0.1375
MSMEG_1789	1.1012
MSMEG_1790	0.5947
MSMEG_1791	1.2476
MSMEG_1792	3.3576
MSMEG_1793	0.0835
MSMEG_1794	0.145
MSMEG_1795	0.9965
MSMEG_1796	0.264
MSMEG_1797	1.1193
MSMEG_1798	0.152
MSMEG_1799	0.3941
MSMEG_1800	0.1682
MSMEG_1801	28.2382
MSMEG_1802	0.6834
MSMEG_1803	0.4693
MSMEG_1804	0.5638
MSMEG_1805	0.2938
MSMEG_1806	0.1466
MSMEG_1807	2.4279
MSMEG_1808	0.4619
MSMEG_1809	11.0975
MSMEG_1810	0.8962
MSMEG_1811	0.0438
MSMEG_1812	0.2451
MSMEG_1813	31.985
MSMEG_1814	0.5311
MSMEG_1815	0.4446
MSMEG_1817	0.9319
MSMEG_1818	0.2554
MSMEG_1819	0.6489
MSMEG_1820	0.5425
MSMEG_1821	10.4913
MSMEG_1822	0.4402
MSMEG_1823	0.2622
MSMEG_1824	0.487
MSMEG_1825	1.8067
MSMEG_1826	0.3289
MSMEG_1827	0.2963
MSMEG_1829	0.3498
MSMEG_1830	8.7059
MSMEG_1831	0.5684
MSMEG_1832	1.0887
MSMEG_1833	1.1204
MSMEG_1834	0.2351
MSMEG_1835	0.6519
MSMEG_1836	0.2406
MSMEG_1837	0.849
MSMEG_1838	0.9589
MSMEG_1839	0.7186
MSMEG_1840	0.1054
MSMEG_1841	1.0717
MSMEG_1842	0.5424
MSMEG_1844	0.7328
MSMEG_1845	1.7446
MSMEG_1846	0.2808
MSMEG_1847	1.807
MSMEG_1849	0.1436
MSMEG_1850	0.2999
MSMEG_1852	15.4657
MSMEG_1854	5.7344
MSMEG_1855	0.4748
MSMEG_1856	2.4609
MSMEG_1857	0.8841
MSMEG_1858	1.0
MSMEG_1859	0.2591
MSMEG_1860	0.315
MSMEG_1861	0.1361
MSMEG_1862	0.0473
MSMEG_1863	0.1451
MSMEG_1864	0.6365
MSMEG_1865	0.7537
MSMEG_1866	0.5534
MSMEG_1867	0.6307
MSMEG_1868	0.9419
MSMEG_1869	0.5724
MSMEG_1870	0.474
MSMEG_1871	0.1496
MSMEG_1872	0.415
MSMEG_1873	7.4808
MSMEG_1874	3.1272
MSMEG_1875	0.2072
MSMEG_1876	0.1623
MSMEG_1877	0.1593
MSMEG_1878	1.1833
MSMEG_1879	0.0244
MSMEG_1880	0.3229
MSMEG_1881	1.6483
MSMEG_1882	0.6287
MSMEG_1883	0.8232
MSMEG_1884	0.1038
MSMEG_1885	0.4091
MSMEG_1886	1.3484
MSMEG_1887	0.3288
MSMEG_1888	0.1653
MSMEG_1889	0.125
MSMEG_1890	5.4479
MSMEG_1891	2.1135
MSMEG_1892	0.2342
MSMEG_1893	0.3044
MSMEG_1894	0.9664
MSMEG_1895	0.8633
MSMEG_1896	0.7673
MSMEG_1897	0.2962
MSMEG_1898	0.7854
MSMEG_1899	0.3724
MSMEG_1900	0.594
MSMEG_1901	0.4962
MSMEG_1902	0.2859
MSMEG_1903	0.3229
MSMEG_1904	0.5749
MSMEG_1905	1.4746
MSMEG_1906	0.618
MSMEG_1907	0.6803
MSMEG_1908	1.4151
MSMEG_1909	1.21
MSMEG_1910	0.7683
MSMEG_1911	1.0502
MSMEG_1912	0.3087
MSMEG_1913	3.0723
MSMEG_1914	0.3739
MSMEG_1915	0.8357
MSMEG_1916	5.6365
MSMEG_1917	0.4412
MSMEG_1918	0.1813
MSMEG_1919	0.5562
MSMEG_1920	0.3503
MSMEG_1921	4.8166
MSMEG_1922	3.1385
MSMEG_1923	0.5501
MSMEG_1924	0.6075
MSMEG_1925	0.0648
MSMEG_1926	0.9582
MSMEG_1927	8.3804
MSMEG_1928	0.1424
MSMEG_1929	0.1434
MSMEG_1930	0.4438
MSMEG_1931	0.858
MSMEG_1932	1.2092
MSMEG_1933	0.4836
MSMEG_1934	1.5716
MSMEG_1935	3.5584
MSMEG_1936	6.7689
MSMEG_1937	2.5372
MSMEG_1938	0.2275
MSMEG_1939	0.5278
MSMEG_1940	4.3461
MSMEG_1941	1.1473
MSMEG_1942	0.2471
MSMEG_1943	0.1724
MSMEG_1944	1.2297
MSMEG_1945	0.4398
MSMEG_1946	0.3265
MSMEG_1947	3.8233
MSMEG_1948	0.1588
MSMEG_1949	0.2774
MSMEG_1950	2.1627
MSMEG_1951	0.9438
MSMEG_1952	0.7922
MSMEG_1953	0.9761
MSMEG_1954	1.7295
MSMEG_1955	0.0655
MSMEG_1956	0.4839
MSMEG_1957	1.9173
MSMEG_1958	8.0848
MSMEG_1959	0.8405
MSMEG_1960	0.1383
MSMEG_1961	0.2968
MSMEG_1962	0.3535
MSMEG_1963	0.3658
MSMEG_1964	0.3863
MSMEG_1966	1.8838
MSMEG_1967	0.3142
MSMEG_1968	1.6098
MSMEG_1969	0.3815
MSMEG_1970	2.0319
MSMEG_1971	0.4449
MSMEG_1972	1.2394
MSMEG_1974	0.5698
MSMEG_1975	0.6149
MSMEG_1976	0.222
MSMEG_1977	0.8932
MSMEG_1978	0.2899
MSMEG_1979	0.722
MSMEG_1980	0.5427
MSMEG_1981	0.8909
MSMEG_1982	2.5113
MSMEG_1983	0.4989
MSMEG_1984	1.6302
MSMEG_1985	0.7934
MSMEG_1986	1.0498
MSMEG_1987	0.1237
MSMEG_1988	0.3005
MSMEG_1989	0.2511
MSMEG_1990	0.8679
MSMEG_1991	6.1062
MSMEG_1992	0.1166
MSMEG_1993	0.1964
MSMEG_1994	0.2256
MSMEG_1995	7.1777
MSMEG_1996	0.343
MSMEG_1997	0.0676
MSMEG_1998	0.1229
MSMEG_1999	8.3042
MSMEG_2000	1.6337
MSMEG_2001	0.3246
MSMEG_2002	0.1558
MSMEG_2003	0.1861
MSMEG_2004	0.2508
MSMEG_2005	0.5187
MSMEG_2006	0.2398
MSMEG_2007	3.244
MSMEG_2008	0.6387
MSMEG_2009	1.1999
MSMEG_2010	0.8418
MSMEG_2011	0.8395
MSMEG_2012	1.8567
MSMEG_2013	0.7956
MSMEG_2014	0.2995
MSMEG_2015	0.2457
MSMEG_2016	0.4825
MSMEG_2017	2.5529
MSMEG_2019	0.6892
MSMEG_2021	0.1313
MSMEG_2022	0.893
MSMEG_2023	1.381
MSMEG_2024	0.3051
MSMEG_2025	0.9704
MSMEG_2026	6.3371
MSMEG_2027	11.609
MSMEG_2028	0.2513
MSMEG_2029	0.897
MSMEG_2030	9.6169
MSMEG_2031	0.5311
MSMEG_2032	1.9788
MSMEG_2033	1.9315
MSMEG_2034	0.527
MSMEG_2035	0.4768
MSMEG_2036	1.7517
MSMEG_2037	0.6332
MSMEG_2038	2.3183
MSMEG_2039	1.9596
MSMEG_2040	0.2494
MSMEG_2042	1.1532
MSMEG_2043	1.7127
MSMEG_2044	2.1661
MSMEG_2045	0.5865
MSMEG_2046	0.6585
MSMEG_2047	0.9308
MSMEG_2048	0.3083
MSMEG_2049	3.3418
MSMEG_2050	0.3116
MSMEG_2051	0.3424
MSMEG_2052	0.2514
MSMEG_2053	0.557
MSMEG_2054	0.3233
MSMEG_2055	0.46
MSMEG_2056	0.687
MSMEG_2057	0.4821
MSMEG_2058	0.3188
MSMEG_2059	0.2828
MSMEG_2060	0.3211
MSMEG_2061	0.5419
MSMEG_2062	0.4513
MSMEG_2063	0.2014
MSMEG_2064	0.8892
MSMEG_2065	0.4075
MSMEG_2066	0.558
MSMEG_2067	0.5045
MSMEG_2068	0.3004
MSMEG_2069	0.3449
